BEGIN parameter_data TABLE  
 nrow=2500 ncol=8 columnlabels 
ParamName	StartValue	GroupName	BetaAssoc	SenMethod	x1	x2	x3
HK0001	102.00000	hyd_con	1	1  	50	50	1
HK0002	102.00000	hyd_con	1	1	150	50	1
HK0003	102.00000	hyd_con	1	1	250	50	1
HK0004	102.00000	hyd_con	1	1	350	50	1
HK0005	102.00000	hyd_con	1	1	450	50	1
HK0006	102.00000	hyd_con	1	1	550	50	1
HK0007	102.00000	hyd_con	1	1	650	50	1
HK0008	102.00000	hyd_con	1	1	750	50	1
HK0009	102.00000	hyd_con	1	1	850	50	1
HK0010	102.00000	hyd_con	1	1	950	50	1
HK0011	102.00000	hyd_con	1	1	1050	50	1
HK0012	102.00000	hyd_con	1	1	1150	50	1
HK0013	102.00000	hyd_con	1	1	1250	50	1
HK0014	102.00000	hyd_con	1	1	1350	50	1
HK0015	102.00000	hyd_con	1	1	1450	50	1
HK0016	102.00000	hyd_con	1	1	1550	50	1
HK0017	102.00000	hyd_con	1	1	1650	50	1
HK0018	102.00000	hyd_con	1	1	1750	50	1
HK0019	102.00000	hyd_con	1	1	1850	50	1
HK0020	102.00000	hyd_con	1	1	1950	50	1
HK0021	102.00000	hyd_con	1	1	2050	50	1
HK0022	102.00000	hyd_con	1	1	2150	50	1
HK0023	102.00000	hyd_con	1	1	2250	50	1
HK0024	102.00000	hyd_con	1	1	2350	50	1
HK0025	102.00000	hyd_con	1	1	2450	50	1
HK0026	102.00000	hyd_con	1	1	2550	50	1
HK0027	102.00000	hyd_con	1	1	2650	50	1
HK0028	102.00000	hyd_con	1	1	2750	50	1
HK0029	102.00000	hyd_con	1	1	2850	50	1
HK0030	102.00000	hyd_con	1	1	2950	50	1
HK0031	102.00000	hyd_con	1	1	3050	50	1
HK0032	102.00000	hyd_con	1	1	3150	50	1
HK0033	102.00000	hyd_con	1	1	3250	50	1
HK0034	102.00000	hyd_con	1	1	3350	50	1
HK0035	102.00000	hyd_con	1	1	3450	50	1
HK0036	102.00000	hyd_con	1	1	3550	50	1
HK0037	102.00000	hyd_con	1	1	3650	50	1
HK0038	102.00000	hyd_con	1	1	3750	50	1
HK0039	102.00000	hyd_con	1	1	3850	50	1
HK0040	102.00000	hyd_con	1	1	3950	50	1
HK0041	102.00000	hyd_con	1	1	4050	50	1
HK0042	102.00000	hyd_con	1	1	4150	50	1
HK0043	102.00000	hyd_con	1	1	4250	50	1
HK0044	102.00000	hyd_con	1	1	4350	50	1
HK0045	102.00000	hyd_con	1	1	4450	50	1
HK0046	102.00000	hyd_con	1	1	4550	50	1
HK0047	102.00000	hyd_con	1	1	4650	50	1
HK0048	102.00000	hyd_con	1	1	4750	50	1
HK0049	102.00000	hyd_con	1	1	4850	50	1
HK0050	102.00000	hyd_con	1	1	4950	50	1
HK0051	102.00000	hyd_con	1	1	50	150	1
HK0052	102.00000	hyd_con	1	1	150	150	1
HK0053	102.00000	hyd_con	1	1	250	150	1
HK0054	102.00000	hyd_con	1	1	350	150	1
HK0055	102.00000	hyd_con	1	1	450	150	1
HK0056	102.00000	hyd_con	1	1	550	150	1
HK0057	102.00000	hyd_con	1	1	650	150	1
HK0058	102.00000	hyd_con	1	1	750	150	1
HK0059	102.00000	hyd_con	1	1	850	150	1
HK0060	102.00000	hyd_con	1	1	950	150	1
HK0061	102.00000	hyd_con	1	1	1050	150	1
HK0062	102.00000	hyd_con	1	1	1150	150	1
HK0063	102.00000	hyd_con	1	1	1250	150	1
HK0064	102.00000	hyd_con	1	1	1350	150	1
HK0065	102.00000	hyd_con	1	1	1450	150	1
HK0066	102.00000	hyd_con	1	1	1550	150	1
HK0067	102.00000	hyd_con	1	1	1650	150	1
HK0068	102.00000	hyd_con	1	1	1750	150	1
HK0069	102.00000	hyd_con	1	1	1850	150	1
HK0070	102.00000	hyd_con	1	1	1950	150	1
HK0071	102.00000	hyd_con	1	1	2050	150	1
HK0072	102.00000	hyd_con	1	1	2150	150	1
HK0073	102.00000	hyd_con	1	1	2250	150	1
HK0074	102.00000	hyd_con	1	1	2350	150	1
HK0075	102.00000	hyd_con	1	1	2450	150	1
HK0076	102.00000	hyd_con	1	1	2550	150	1
HK0077	102.00000	hyd_con	1	1	2650	150	1
HK0078	102.00000	hyd_con	1	1	2750	150	1
HK0079	102.00000	hyd_con	1	1	2850	150	1
HK0080	102.00000	hyd_con	1	1	2950	150	1
HK0081	102.00000	hyd_con	1	1	3050	150	1
HK0082	102.00000	hyd_con	1	1	3150	150	1
HK0083	102.00000	hyd_con	1	1	3250	150	1
HK0084	102.00000	hyd_con	1	1	3350	150	1
HK0085	102.00000	hyd_con	1	1	3450	150	1
HK0086	102.00000	hyd_con	1	1	3550	150	1
HK0087	102.00000	hyd_con	1	1	3650	150	1
HK0088	102.00000	hyd_con	1	1	3750	150	1
HK0089	102.00000	hyd_con	1	1	3850	150	1
HK0090	102.00000	hyd_con	1	1	3950	150	1
HK0091	102.00000	hyd_con	1	1	4050	150	1
HK0092	102.00000	hyd_con	1	1	4150	150	1
HK0093	102.00000	hyd_con	1	1	4250	150	1
HK0094	102.00000	hyd_con	1	1	4350	150	1
HK0095	102.00000	hyd_con	1	1	4450	150	1
HK0096	102.00000	hyd_con	1	1	4550	150	1
HK0097	102.00000	hyd_con	1	1	4650	150	1
HK0098	102.00000	hyd_con	1	1	4750	150	1
HK0099	102.00000	hyd_con	1	1	4850	150	1
HK0100	102.00000	hyd_con	1	1	4950	150	1
HK0101	102.00000	hyd_con	1	1	50	250	1
HK0102	102.00000	hyd_con	1	1	150	250	1
HK0103	102.00000	hyd_con	1	1	250	250	1
HK0104	102.00000	hyd_con	1	1	350	250	1
HK0105	102.00000	hyd_con	1	1	450	250	1
HK0106	102.00000	hyd_con	1	1	550	250	1
HK0107	102.00000	hyd_con	1	1	650	250	1
